index_date,close,volume
2022-09-01,,160794264.47095346
2022-09-02,,205682785.01985532
2022-09-03,,258340270.3865798
2022-09-04,,324335565.135161
2022-09-05,,389849486.71777755
2022-09-06,,463883411.28651595
2022-09-07,,541700735.6002386
2022-09-08,,620688424.5217028
2022-09-09,,703498086.8992362
2022-09-10,,785977770.5674994
2022-09-11,,868336471.6121458
2022-09-12,,949848804.8668693
2022-09-13,,1028377915.160521
2022-09-14,,1103793940.9078784
2022-09-15,,1174584847.112715
2022-09-16,,1239598513.2706416
2022-09-17,,1298043790.160251
2022-09-18,,1348532388.7055576
2022-09-19,,1390101653.901043
2022-09-20,,1421648464.1798422
2022-09-21,,1441972039.9780304
2022-09-22,,1450039196.5498395
2022-09-23,,1444677512.4988544
2022-09-24,,1424757343.654695
2022-09-25,,1389165966.7697241
2022-09-26,,1336735210.7152243
2022-09-27,,1266332956.9560435
2022-09-28,,1176805162.6870449
2022-09-29,,1066987521.6551588
2022-09-30,,935724857.7562584
